company,option,phone,prompt
Delta Airlines,Reservations,+18002211212,"Say 'Existing Reservation'. Then say 'Change Flight'. If asked for SkyMiles say 'No'. Transfer when human answers."
Delta Airlines,Baggage,+18003258224,"Say 'Track Bag'. Wait for agent. Transfer."
United Airlines,Reservations,+18008648331,"Say 'Flight Status'. Then say 'Agent'. Press 0 if stuck. Transfer."
United Airlines,MileagePlus,+18004214655,"Say 'Account Service'. Press 0 repeatedly. Transfer."
American Airlines,Reservations,+18004337300,"Say 'Agent' immediately. Repeat 'Agent' three times. Transfer."
Southwest Airlines,General,+18004359792,"Press 0 immediately. Transfer."
JetBlue,Reservations,+18005382583,"Say 'Existing Reservation'. Press 0. Transfer."
Spirit Airlines,Support,+18557283555,"Press 5 immediately. Then Press 7. Transfer."
Alaska Airlines,Reservations,+18002527522,"Say 'Agent' or Press 0. Transfer."
Chase Bank,Representative,+18009359935,"Press 0 immediately. If asked for PIN say 'I forgot'. Transfer."
Chase Bank,Lost Card,+18009359935,"Press 2 for Loss. Press 1 for Credit Card. Transfer."
Bank of America,Checking Support,+18004321000,"Press 0# repeatedly. Transfer."
Bank of America,Credit Card,+18007329194,"Say 'Representative'. Ignore prompts. Transfer."
Wells Fargo,General,+18008693557,"Say 'Agent' repeatedly. Enter 0 if asked for account. Transfer."
Citi,Credit Cards,+18009505114,"Press 0 repeatedly. Ignore invalid entry message. Transfer."
American Express,Customer Service,+18005284800,"Say 'Member Services'. Press 0. Transfer."
Capital One,Support,+18773834802,"Press 0 repeatedly. Transfer."
PNC Bank,Support,+18887622265,"Say 'Customer Service'. Press 0. Transfer."
US Bank,Support,+18008722657,"Say 'Representative'. Press 0. Transfer."
IRS,Individual Taxes,+18008291040,"Select Language. Press 2 (Personal). Press 1 (Form info). Press 3 (Other). Wait for agent. Transfer."
IRS,Business Taxes,+18008294933,"Select Language. Press 1. Press 3. Transfer."
Comcast Xfinity,Retention (Cancel),+18009346489,"Say 'Disconnect Service'. Say 'No' to offers. Transfer."
Comcast Xfinity,Tech Support,+18009346489,"Say 'Technical Support'. Say 'Internet'. Transfer."
AT&T Wireless,Support,+18003310500,"Say 'Customer Service'. Press 0. Transfer."
Verizon Wireless,Support,+18009220204,"Press 0# repeatedly. Transfer."
T-Mobile,Support,+18009378997,"Say 'Representative'. Transfer."
Spectrum,Support,+18332676094,"Say 'Representative'. Press 0. Transfer."
CenturyLink,Support,+18002441111,"Say 'Agent'. Transfer."
Apple,Support,+18002752273,"Say 'Technical Support'. Say 'iPhone'. Transfer."
Amazon,General (Hard to Reach),+18882804331,"Say 'Representative'. Ignore 'Go to App' message. Say 'Agent' again. Transfer."
Google,Nest/Home Support,+18554696378,"Press 1 for Nest. Transfer."
Microsoft,Surface Support,+18006427676,"Say 'Surface'. Say 'Technical Support'. Transfer."
Tesla,Service,+18885183752,"Select 'Vehicle Service'. Press 0. Transfer."
Uber,Driver Support,+18005937069,"Press 0. Transfer."
PayPal,Support,+18882211161,"Say 'Agent'. Press 0. Transfer."
Walmart,Online Orders,+18009666546,"Press 0 repeatedly. Transfer."
Target,Guest Services,+18004400680,"Press 0 twice. Transfer."
Best Buy,Geek Squad,+18004335778,"Say 'Geek Squad'. Transfer."
Home Depot,Support,+18004663337,"Say 'Customer Care'. Transfer."
Lowe's,Support,+18004456937,"Say 'Customer Service'. Transfer."
FedEx,General,+18004633339,"Say 'Representative'. Press 0. Transfer."
UPS,General,+18007425877,"Say 'Agent'. Press 0. Transfer."
USPS,Tracking,+18002758777,"Say 'Carrier'. Say 'Agent'. Transfer."
AAA,Roadside,+18002224357,"Press 0. Transfer."
Geico,Claims,+18008413000,"Say 'Claims'. Transfer."
Progressive,Support,+18007764737,"Press 0. Transfer."
State Farm,Support,+18007828332,"Say 'Agent'. Transfer."
Expedia,Support,+18772277481,"Press 0. Transfer."
Booking.com,Support,+18888503958,"Press 0. Transfer."
Airbnb,Support,+18554247262,"Press 0. Transfer."
Ticketmaster,Support,+18006538000,"Say 'Agent'. Transfer."
